candidate_id,Self Awareness (Final),Parts Completed,Overall Score,Location,Years of Experience,Gender,Chart Interpretation score,Chart Interpretation Self Rating,Data Literacy score,Data Literacy Self Rating,Reports & Visualisations score,Reports & Visualisations Self Rating,SQL score,SQL Self Rating,Business Acumen score,Business Acumen Self Rating,wordCount,BOW_business_acumen,BOW_chart_intepretation,BOW_data_literacy,BOW_reports_visualisation,BOW_sql,ATS_noweight,ATS_weighted,QS_rank,Highest Degree Level,Highest level of company position
28053,-5.6642,3,1.7,2,15,0,0.952,7,2.727,8,5,8,,7,,7,450,0.006666667,0.011111111,0.008888889,0.004444444,0.008888889,0.55,0.7,0,1,2
28054,-6.4,3,0,1,1,0,,9,,7,,7,,2,,7,744,0.005376344,0.001344086,0.001344086,0,0,0.2125,0.2875,383,1,1
28057,-0.3076,3,8,3,9,1,7.619,8,8.182,8,9,8,9.375,8,4.286,8,1003,0.006979063,0,0.002991027,0.001994018,0.004985045,0.4375,0.5625,427,0,2
28058,-3.2008,3,5.8,1,7,0,9.048,8,9.091,8,3,8,,8,2.857,8,354,0.002824859,0,0.002824859,0.002824859,0,0.225,0.275,0,0,2
28059,-3.9054,3,4.5,1,6,0,7.143,7,5.455,7,4,8,1.875,9,,7,819,0.004884005,0.006105006,0.002442002,0.002442002,0.017094017,0.4375,0.5625,501,1,1
28060,-6.3454,3,0.7,1,4,0,,8,2.273,5,,8,,5,,8,360,0.016666667,0,0,0,0,0.175,0.2,0,0,2
28061,-5.1386,3,3.2,2,4,0,4.762,8,4.545,8,4,7,,8,,8,876,0.00456621,0.002283105,0.001141553,0.00456621,0.014840183,0.6125,0.7625,259,1,1
28062,-6.1428,3,3.2,3,3,0,4.286,9,5,9,4,9,,9,,8,1506,0.000664011,0,0,0,0,0.2875,0.3375,0,1,1
28097,-7.1368,3,0.7,2,10,1,0.952,8,1.364,7,,7,,7,,9,493,0.012170385,0,0,0,0.002028398,0.2875,0.3375,801,1,1
28100,-5.7896,3,3.7,2,5,0,7.143,9,5.909,8,,8,,9,,8,533,0.020637899,0,0,0.003752345,0.003752345,0.55,0.7,0,1,2
28101,-2.1272,3,0.4,2,1,0,,1,1.364,1,,1,,1,,8,1046,0.023900574,0,0,0.001912046,0,0.5,0.625,0,0,1
28113,-5.8278,3,2.5,3,1,0,0.952,9,5.909,8,4,8,,8,,7,583,0.006861063,0,0,0,0.001715266,0.3375,0.4125,801,0,1
28116,-4.0458,3,5.3,2,2,0,5.714,9,8.182,8,7,9,1.875,9,,8,1139,0.003511853,0.002633889,0.001755926,0.007023705,0.024582968,0.55,0.7,0,1,1
28119,-4.49,3,5.5,1,3,1,8.095,10,5.455,10,5,9,5,8,,9,593,0.005059022,0.003372681,0.010118044,0.001686341,0.001686341,0.2625,0.3625,474,1,1
28123,-4.361,3,2.9,2,20,0,4.286,9,5.909,6,,10,,1,,6,647,0.015455951,0,0,0,0,0.375,0.5,751,,2
28251,-6.4736,3,1.8,1,3,0,1.905,9,2.727,8,4,9,,7,,8,515,0.017475728,0,0.001941748,0.003883495,0.003883495,0.55,0.7,0,0,1
28252,-5.839,3,3.3,5,3,0,5.714,8,4.091,10,4,8,,8,,9,1019,0.018645731,0.000981354,0,0.000981354,0.001962709,0.425,0.575,571,5,1
28499,-6.6,3,0,2,10,0,,8,,7,,8,,8,,2,238,0,0.004201681,0.004201681,0,0.016806723,0.2625,0.3625,601,1,1
